Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume USDT,tradecount
1666051200000,2022-10-18,1INCHUSDT,0.577,0.583,0.561,0.57,3562220.0,2036406.8216,10317
1665964800000,2022-10-17,1INCHUSDT,0.569,0.578,0.562,0.576,2490379.5,1425373.8728,6674
1665878400000,2022-10-16,1INCHUSDT,0.561,0.572,0.559,0.569,2099078.3,1187347.8722,5316
1665792000000,2022-10-15,1INCHUSDT,0.561,0.569,0.556,0.562,1721052.3,969059.5502,4979
1665705600000,2022-10-14,1INCHUSDT,0.562,0.579,0.553,0.56,4144935.8,2351471.9525,9902
1665619200000,2022-10-13,1INCHUSDT,0.569,0.571,0.535,0.563,10187618.7,5637076.2048,24661
1665532800000,2022-10-12,1INCHUSDT,0.562,0.574,0.561,0.569,1589482.3,903790.817,4981
1665446400000,2022-10-11,1INCHUSDT,0.577,0.577,0.558,0.563,3135898.1,1773266.2102,9427
1665360000000,2022-10-10,1INCHUSDT,0.607,0.62,0.574,0.575,4354835.6,2594752.2372,13703
1665273600000,2022-10-09,1INCHUSDT,0.599,0.612,0.597,0.608,2965651.3,1790288.4722,8624
1665187200000,2022-10-08,1INCHUSDT,0.614,0.627,0.593,0.6,5983686.9,3623193.3339,17482
1665100800000,2022-10-07,1INCHUSDT,0.575,0.658,0.572,0.614,22922676.8,14147579.1857,51654
1665014400000,2022-10-06,1INCHUSDT,0.585,0.594,0.572,0.574,2878333.6,1681806.1894,8037
1664928000000,2022-10-05,1INCHUSDT,0.585,0.59,0.567,0.585,2460658.2,1423235.5293,6733
1664841600000,2022-10-04,1INCHUSDT,0.573,0.59,0.57,0.585,1721773.9,998372.5631,5257
1664755200000,2022-10-03,1INCHUSDT,0.553,0.576,0.544,0.573,2370154.8,1336564.6301,7226
1664668800000,2022-10-02,1INCHUSDT,0.575,0.578,0.552,0.553,1964452.4,1107585.0712,6473
1664582400000,2022-10-01,1INCHUSDT,0.576,0.58,0.572,0.574,1068018.4,616308.3009,2983
1664496000000,2022-09-30,1INCHUSDT,0.585,0.591,0.571,0.576,3867478.3,2251243.007,10657
1664409600000,2022-09-29,1INCHUSDT,0.586,0.595,0.573,0.585,4419603.6,2574944.4306,10658
1664323200000,2022-09-28,1INCHUSDT,0.608,0.612,0.574,0.585,6771208.7,3966145.3885,17015
1664236800000,2022-09-27,1INCHUSDT,0.626,0.649,0.601,0.607,7028447.5,4430141.1809,19038
1664150400000,2022-09-26,1INCHUSDT,0.6,0.636,0.597,0.625,6851365.9,4234427.2286,19641
1664064000000,2022-09-25,1INCHUSDT,0.606,0.627,0.591,0.6,3551515.5,2183335.201,10298
1663977600000,2022-09-24,1INCHUSDT,0.609,0.626,0.602,0.606,2666256.0,1635674.0876,7744
1663891200000,2022-09-23,1INCHUSDT,0.593,0.619,0.584,0.609,5976050.6,3599788.4497,17173
1663804800000,2022-09-22,1INCHUSDT,0.562,0.597,0.559,0.592,4236560.0,2453076.8541,11656
1663718400000,2022-09-21,1INCHUSDT,0.6,0.609,0.553,0.562,7453229.1,4347706.5039,20060
1663632000000,2022-09-20,1INCHUSDT,0.595,0.609,0.585,0.599,4057056.1,2426082.3908,11253
1663545600000,2022-09-19,1INCHUSDT,0.571,0.602,0.554,0.595,6492952.3,3752419.4637,16560
1663459200000,2022-09-18,1INCHUSDT,0.628,0.639,0.534,0.571,5400791.5,3222868.3652,19732
