Unix,Date,Symbol,Open,High,Low,Close,Volume FTM,Volume USDT,tradecount
1622592000000,2021-06-02,FTMUSDT,0.30944,0.36652,0.2971,0.3497,217418005.5,72591530.769682,129479
1622505600000,2021-06-01,FTMUSDT,0.32042,0.33,0.3,0.30945,129683560.1,40601106.288684,82301
1622419200000,2021-05-31,FTMUSDT,0.29463,0.32448,0.27434,0.3207,125795318.6,37929861.095529,88539
1622332800000,2021-05-30,FTMUSDT,0.27654,0.31349,0.26217,0.29505,122594558.3,35870111.626222,82108
1622246400000,2021-05-29,FTMUSDT,0.30366,0.31859,0.26217,0.27592,121392224.5,34995935.643026,78620
1622160000000,2021-05-28,FTMUSDT,0.34844,0.35276,0.28569,0.30367,225757231.7,70413563.038355,132804
1622073600000,2021-05-27,FTMUSDT,0.37823,0.37864,0.32214,0.34834,187286796.4,65603572.078455,124086
1621987200000,2021-05-26,FTMUSDT,0.32969,0.40531,0.31474,0.37787,303935978.4,110588359.845712,196852
1621900800000,2021-05-25,FTMUSDT,0.34295,0.379,0.28606,0.33,284633357.3,89960484.098898,182150
1621814400000,2021-05-24,FTMUSDT,0.2521,0.35798,0.25168,0.34332,396671781.7,121543466.146548,239758
1621728000000,2021-05-23,FTMUSDT,0.29012,0.3024,0.1832,0.252,523168831.9,122479359.651515,275470
1621641600000,2021-05-22,FTMUSDT,0.35196,0.3663,0.28922,0.29047,240164762.3,77014550.288167,176661
1621555200000,2021-05-21,FTMUSDT,0.4483,0.47999,0.305,0.35278,291402144.9,112858866.784214,227704
1621468800000,2021-05-20,FTMUSDT,0.3944,0.529,0.33271,0.44828,383983142.5,169803465.032386,319247
1621382400000,2021-05-19,FTMUSDT,0.6838,0.765,0.29,0.3948,798641676.6,440069347.756026,701493
1621296000000,2021-05-18,FTMUSDT,0.57996,0.70987,0.57218,0.68389,201417248.8,127414557.127279,219138
1621209600000,2021-05-17,FTMUSDT,0.63127,0.64,0.54,0.5798,155431445.5,92477328.534417,164541
1621123200000,2021-05-16,FTMUSDT,0.61406,0.7275,0.587,0.63207,185809772.8,122079284.770034,213567
1621036800000,2021-05-15,FTMUSDT,0.6919,0.7357,0.60692,0.61378,143428579.6,95768236.641802,171230
1620950400000,2021-05-14,FTMUSDT,0.61776,0.74121,0.61379,0.69179,157413279.1,107081941.500055,200157
1620864000000,2021-05-13,FTMUSDT,0.60513,0.70233,0.56549,0.618,180936364.6,114956959.410692,221957
1620777600000,2021-05-12,FTMUSDT,0.78753,0.79165,0.588,0.60512,227528140.5,162540749.328775,289681
1620691200000,2021-05-11,FTMUSDT,0.77104,0.8137,0.71,0.78753,166359636.9,127287684.894218,233295
1620604800000,2021-05-10,FTMUSDT,0.91892,0.95873,0.7,0.77154,231473761.0,193935532.321477,336723
1620518400000,2021-05-09,FTMUSDT,0.8152,0.94156,0.7124,0.91838,276959505.7,231626887.312429,426906
1620432000000,2021-05-08,FTMUSDT,0.77693,0.939,0.76972,0.81726,366808470.0,316162688.180056,526586
1620345600000,2021-05-07,FTMUSDT,0.73127,0.79346,0.6849,0.77576,119186660.6,88251387.93251,194600
1620259200000,2021-05-06,FTMUSDT,0.78211,0.8137,0.69267,0.73146,157149544.3,121021783.364118,222514
1620172800000,2021-05-05,FTMUSDT,0.6505,0.83851,0.642,0.7814,289259318.7,225983751.34635,443502
1620086400000,2021-05-04,FTMUSDT,0.71092,0.767,0.631,0.65033,265224936.5,182811265.347952,346022
1620000000000,2021-05-03,FTMUSDT,0.75338,0.78599,0.69729,0.71092,198380062.1,147078331.72743,287969
1619913600000,2021-05-02,FTMUSDT,0.8137,0.849,0.74056,0.75338,216281828.9,174104299.686441,319116
1619827200000,2021-05-01,FTMUSDT,0.73973,0.841,0.6938,0.81371,347205832.2,265995614.124698,489185
1619740800000,2021-04-30,FTMUSDT,0.581,0.79526,0.5622,0.74068,494803524.2,350823582.580061,602189
1619654400000,2021-04-29,FTMUSDT,0.59418,0.73,0.56913,0.58179,588968280.3,380159892.061814,679970
1619568000000,2021-04-28,FTMUSDT,0.52656,0.61788,0.44161,0.59311,454709867.8,245357823.979384,502188
1619481600000,2021-04-27,FTMUSDT,0.38485,0.534,0.37684,0.52656,288531092.2,135318218.141575,324395
1619395200000,2021-04-26,FTMUSDT,0.30542,0.42,0.29593,0.38475,196960378.0,74151921.593101,199070
1619308800000,2021-04-25,FTMUSDT,0.27868,0.328,0.27645,0.30598,76254729.7,22935796.579756,74461
1619222400000,2021-04-24,FTMUSDT,0.31548,0.3212,0.27649,0.27862,87593004.6,26029591.889568,76213
1619136000000,2021-04-23,FTMUSDT,0.32819,0.33711,0.25,0.31548,179142736.8,52311528.717374,146470
1619049600000,2021-04-22,FTMUSDT,0.36806,0.39111,0.3069,0.32822,116655329.1,42103894.279163,117597
1618963200000,2021-04-21,FTMUSDT,0.40065,0.4088,0.36747,0.36775,83582758.1,32473997.747392,89952
1618876800000,2021-04-20,FTMUSDT,0.40009,0.41984,0.35628,0.40095,111195203.8,43216273.06782,121928
1618790400000,2021-04-19,FTMUSDT,0.42362,0.43403,0.3572,0.40026,166901660.4,67323204.579628,180491
1618704000000,2021-04-18,FTMUSDT,0.49487,0.5049,0.321,0.4231,255067326.0,105541444.22462,290579
1618617600000,2021-04-17,FTMUSDT,0.45504,0.578,0.43,0.495,382013447.5,198154311.534809,487789
1618531200000,2021-04-16,FTMUSDT,0.44491,0.46,0.40765,0.45463,109926797.2,47268058.948212,120769
1618444800000,2021-04-15,FTMUSDT,0.41704,0.45957,0.41084,0.44459,106974174.1,46527118.007367,125346
1618358400000,2021-04-14,FTMUSDT,0.4182,0.44097,0.38508,0.41712,96391144.7,39998274.411145,117071
1618272000000,2021-04-13,FTMUSDT,0.42789,0.44431,0.4118,0.41803,80248137.7,34252661.30456,87105
1618185600000,2021-04-12,FTMUSDT,0.45794,0.4669,0.42403,0.42766,82270869.8,36202250.550489,88634
1618099200000,2021-04-11,FTMUSDT,0.43919,0.47,0.423,0.45817,78202799.5,34515015.571108,90926
1618012800000,2021-04-10,FTMUSDT,0.45215,0.4762,0.423,0.43923,91495585.7,41280139.653922,102247
1617926400000,2021-04-09,FTMUSDT,0.43775,0.476,0.42897,0.45172,106816864.7,48379048.001574,122976
